[16-02-2021 08:26:27] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 08:30:42] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 08:31:36] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 08:32:32] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 08:33:12] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 08:35:26] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 08:37:41] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 08:37:51] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830087 - MODELO:F273
[16-02-2021 08:37:59] - INICIAL: XF273MAA10830001, FINAL: XF273MAA1083879564 - MODELO:F273
[16-02-2021 08:38:08] - INICIAL: XF273MAA10830001, FINAL: XF273MAA1083879564 - MODELO:F273
[16-02-2021 08:38:21] - INICIAL: XF273MAA10830001, FINAL: XF273MAA1083879564 - MODELO:F273
[16-02-2021 08:38:35] - INICIAL: XF273MAA10830001, FINAL: XF273MAA1083879564 - MODELO:F273
[16-02-2021 08:40:03] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 08:46:38] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10839999 - MODELO:F273
[16-02-2021 08:49:36] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10839999 - MODELO:F273
[16-02-2021 08:49:55] - INICIAL: XF273MAA10839999999, FINAL: XF273MAA108310009997 - MODELO:F273
[16-02-2021 08:52:25] - INICIAL: XF273MAA10834444, FINAL: XF273MAA10834444 - MODELO:F273
[16-02-2021 08:52:35] - INICIAL: XF273MAA10834444, FINAL: XF273MAA10834452 - MODELO:F273
[16-02-2021 09:00:25] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10839999 - MODELO:F273
[16-02-2021 09:00:51] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10839999 - MODELO:F273
[16-02-2021 09:02:23] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10839999 - MODELO:F273
[16-02-2021 09:03:01] - INICIAL: XF273MAA10830001, FINAL: XF273MAA1083999999 - MODELO:F273
[16-02-2021 09:04:09] - INICIAL: XF273MAA10830001, FINAL: XF273MAA1083999999 - MODELO:F273
[16-02-2021 09:07:06] - INICIAL: XF273MAA10830001, FINAL: XF273MAA1083999999 - MODELO:F273
[16-02-2021 09:08:17] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10839999 - MODELO:F273
[16-02-2021 09:08:22] - INICIAL: XF273MAA10830001, FINAL: XF273MAA108399999 - MODELO:F273
[16-02-2021 09:08:38] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830006 - MODELO:F273
[16-02-2021 09:08:52] - INICIAL: XF273MAA10830001, FINAL: XF273MAA108399999 - MODELO:F273
[16-02-2021 09:10:06] - INICIAL: XF273MAA10830001, FINAL: XF273MAA108399999 - MODELO:F273
[16-02-2021 09:10:27] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10839999 - MODELO:F273
[16-02-2021 09:11:26] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10839999 - MODELO:F273
[16-02-2021 09:11:31] - INICIAL: XF273MAA10830001, FINAL: XF273MAA108399999 - MODELO:F273
[16-02-2021 09:12:22] - INICIAL: XF273MAA10830001, FINAL: XF273MAA108399999 - MODELO:F273
[16-02-2021 09:13:40] - INICIAL: XF273MAA10830001, FINAL: XF273MAA1083999999 - MODELO:F273
[16-02-2021 09:14:14] - INICIAL: XF273MAA10830001, FINAL: XF273MAA108399999 - MODELO:F273
[16-02-2021 09:14:45] - INICIAL: XF273MAA10830001, FINAL: XF273MAA108399999 - MODELO:F273
[16-02-2021 09:15:17] - INICIAL: XF273MAA10830001, FINAL: XF273MAA1083999999 - MODELO:F273
[16-02-2021 09:15:49] - INICIAL: XF273MAA10830001, FINAL: XF273MAA108399999 - MODELO:F273
[16-02-2021 09:16:20] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10839999 - MODELO:F273
[16-02-2021 09:18:58] - INICIAL: XF273MAA10830001, FINAL: XF273MAA108399999 - MODELO:F273
[16-02-2021 09:20:22] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 09:21:02] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830002 - MODELO:F273
[16-02-2021 09:22:48] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 09:23:25] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 09:23:29] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 09:23:31] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 09:23:32] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 09:23:34] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 09:24:18] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 09:25:37] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830002 - MODELO:F273
[16-02-2021 09:27:13] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 09:27:15] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 09:27:35] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 09:29:36] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 09:29:38] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 09:30:24] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 09:30:46] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 09:32:11] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 09:32:37] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 09:36:43] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 09:44:07] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 09:45:41] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 09:46:56] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 09:47:44] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 09:47:46] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 09:47:47] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 09:47:50] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830002 - MODELO:F273
[16-02-2021 09:47:54] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830009 - MODELO:F273
[16-02-2021 09:48:02] - INICIAL: XF273MAA10830001, FINAL: XF273MAA1083999999 - MODELO:F273
[16-02-2021 09:48:10] - INICIAL: XF273MAA10830001, FINAL: XF273MAA1083999999 - MODELO:F273
[16-02-2021 09:48:19] - INICIAL: XF273MAA10830001, FINAL: XF273MAA1083999999 - MODELO:F273
[16-02-2021 09:48:28] - INICIAL: XF273MAA10830001, FINAL: XF273MAA1083999999 - MODELO:F273
[16-02-2021 09:49:05] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 09:49:06] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 09:49:51] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10839999999 - MODELO:F273
[16-02-2021 09:58:27] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 10:00:48] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 10:01:30] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 10:01:44] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 10:01:49] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830002 - MODELO:F273
[16-02-2021 10:01:53] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830005 - MODELO:F273
[16-02-2021 10:02:38] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 10:03:26] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 10:03:43] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 10:03:46] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830008 - MODELO:F273
[16-02-2021 10:04:22] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 10:04:25] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830099 - MODELO:F273
[16-02-2021 10:04:29] - INICIAL: XF273MAA10830001, FINAL: XF273MAA108399999 - MODELO:F273
[16-02-2021 10:09:46] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 10:09:49] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830888 - MODELO:F273
[16-02-2021 10:10:06] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830088 - MODELO:F273
[16-02-2021 10:10:16] - INICIAL: XF273MAA10830001, FINAL: XF273MAA1083999999 - MODELO:F273
[16-02-2021 10:12:28] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830002 - MODELO:F273
[16-02-2021 10:14:05] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830002 - MODELO:F273
[16-02-2021 10:14:52] - INICIAL: XF273MAA10830009, FINAL: XF273MAA10830010 - MODELO:F273
[16-02-2021 10:16:11] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830009 - MODELO:F273
[16-02-2021 10:20:32] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830009 - MODELO:F273
[16-02-2021 10:20:52] - INICIAL: XF273MAA10830001, FINAL: XF273MAA108399999 - MODELO:F273
[16-02-2021 10:20:57] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 10:21:00] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830088 - MODELO:F273
[16-02-2021 10:21:03] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830009 - MODELO:F273
[16-02-2021 10:21:08] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830999 - MODELO:F273
[16-02-2021 10:28:06] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830001 - MODELO:F273
[16-02-2021 10:32:16] - INICIAL: XF273MAA10830001, FINAL: XF273MAA10830002 - MODELO:F273
